N-Acetyl-L-idosamine	http://glyconavi.org/GST/MS42
3-Deoxy-D-glycero-D-galacto-nonulosonic acid	http://glyconavi.org/GST/MS43
3-Deoxy-D-manno-octulosonic acid	http://glyconavi.org/GST/MS44
Legionaminic acid	http://glyconavi.org/GST/MS45
L-glycero-D-manno-Heptose	http://glyconavi.org/GST/MS46
D-Lyxose	http://glyconavi.org/GST/MS47
D-Mannose	http://glyconavi.org/GST/MS48
D-Mannuronic acid	http://glyconavi.org/GST/MS49
D-Mannosamine	http://glyconavi.org/GST/MS50
N-Acetyl-D-mannosamine	http://glyconavi.org/GST/MS51
Muramic acid	http://glyconavi.org/GST/MS52
N-Acetylmuramic acid	http://glyconavi.org/GST/MS53
N-Glycolylmuramic acid	http://glyconavi.org/GST/MS54
Neuraminic acid	http://glyconavi.org/GST/MS55
N-Acetylneuraminic acid	http://glyconavi.org/GST/MS56
N-Glycolylneuraminic acid	http://glyconavi.org/GST/MS57
Olivose	http://glyconavi.org/GST/MS58
Paratose	http://glyconavi.org/GST/MS59
Pseudaminic acid	http://glyconavi.org/GST/MS60
D-Psicose	http://glyconavi.org/GST/MS61
D-Quinovose	http://glyconavi.org/GST/MS62
N-Acetyl-D-quinovosamine	http://glyconavi.org/GST/MS63
L-Rhamnose	http://glyconavi.org/GST/MS64
N-Acetyl-L-rhamnosamine	http://glyconavi.org/GST/MS65
D-Ribose	http://glyconavi.org/GST/MS66
Sialic acid	http://glyconavi.org/GST/MS67
L-Sorbose	http://glyconavi.org/GST/MS68
D-Tagatose	http://glyconavi.org/GST/MS69
D-Talose	http://glyconavi.org/GST/MS70
D-Taluronic acid	http://glyconavi.org/GST/MS71
D-Talosamine	http://glyconavi.org/GST/MS72
N-Acetyl-D-talosamine	http://glyconavi.org/GST/MS73
Tyvelose	http://glyconavi.org/GST/MS74
D-Xylose	http://glyconavi.org/GST/MS75
5,7-Diamino-3,5,7,9-tetradeoxy-D-glycero-D-talo-non-2-ulopyranosonic acid	http://glyconavi.org/GST/MS1
6-Deoxy-L-altropyranose	http://glyconavi.org/GST/MS2
2-Acetamido-2,6-dideoxy-L-altropyranose	http://glyconavi.org/GST/MS3
6-Deoxy-D-gulopyranose	http://glyconavi.org/GST/MS4
6-Deoxy-D-talopyranose	http://glyconavi.org/GST/MS5
2-Acetamido-2,6-dideoxy-D-talopyranose	http://glyconavi.org/GST/MS6
3,6-Dideoxy-D-xylo-hexopyranose	http://glyconavi.org/GST/MS7
5,7-Diamino-3,5,7,9-tetradeoxy-L-glycero-L-altro-non-2-ulopyranosonic acid	http://glyconavi.org/GST/MS8
D-Allopyranose	http://glyconavi.org/GST/MS9
D-Allopyranuronic acid	http://glyconavi.org/GST/MS10
2-Amino-2-deoxy-D-allopyranose	http://glyconavi.org/GST/MS11
2-Acetamido-2-deoxy-D-allopyranose	http://glyconavi.org/GST/MS12
L-Altropyranose	http://glyconavi.org/GST/MS13
L-Altropyranuronic acid	http://glyconavi.org/GST/MS14
2-Amino-2-deoxy-L-altropyranose	http://glyconavi.org/GST/MS15
2-Acetamido-2-deoxy-L-altropyranose	http://glyconavi.org/GST/MS16
3-C-(Hydroxymethyl)-L-erythro-tetrofuranose	http://glyconavi.org/GST/MS17
L-Arabinopyranose	http://glyconavi.org/GST/MS18
2,4-Diamino-2,4,6-trideoxy-D-glucopyranose	http://glyconavi.org/GST/MS19
3,6-Dideoxy-L-xylo-hexopyranose	http://glyconavi.org/GST/MS20
D-glycero-D-manno-Heptopyranose	http://glyconavi.org/GST/MS21
3-Deoxy-D-lyxo-hept-2-ulopyranosaric acid	http://glyconavi.org/GST/MS22
2,6-Dideoxy-D-ribo-hexopyranose	http://glyconavi.org/GST/MS23
D-arabino-Hex-2-ulopyranose	http://glyconavi.org/GST/MS24
6-Deoxy-L-galactopyranose	http://glyconavi.org/GST/MS25
2-Acetamido-2,6-dideoxy-L-galactopyranose	http://glyconavi.org/GST/MS26
D-Galactopyranose	http://glyconavi.org/GST/MS27
D-Galactopyranuronic acid	http://glyconavi.org/GST/MS28
2-Amino-2-deoxy-D-galactopyranose	http://glyconavi.org/GST/MS29
2-Acetamido-2-deoxy-D-galactopyranose	http://glyconavi.org/GST/MS30
D-Glucopyranose	http://glyconavi.org/GST/MS31
